ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Training step: 10800 Accuracy: 79.3 learning rate: 0.004485654
Training step: 10900 Accuracy: 81.2 learning rate: 0.004481148
Training step: 11000 Accuracy: 89.7 learning rate: 0.004476647
Training step: 11100 Accuracy: 84.6 learning rate: 0.00447215
Training step: 11200 Accuracy: 90.5 learning rate: 0.0044676573
Training step: 11300 Accuracy: 85.2 learning rate: 0.0044631693
Training step: 11400 Accuracy: 90.4 learning rate: 0.004458686
Training step: 11500 Accuracy: 91.10000000000001 learning rate: 0.004454207
Training step: 11600 Accuracy: 89.4 learning rate: 0.0044497326
Training step: 11700 Accuracy: 88.6 learning rate: 0.004445263
Training step: 11800 Accuracy: 87.1 learning rate: 0.0044407975
Training step: 11900 Accuracy: 90.8 learning rate: 0.0044363365
Training step: 12000 Accuracy: 85.9 learning rate: 0.0044318805
Training step: 12100 Accuracy: 90.8 learning rate: 0.0044274284
Training step: 12200 Accuracy: 89.3 learning rate: 0.004422981
Training step: 12300 Accuracy: 90.0 learning rate: 0.004418538
Training step: 12400 Accuracy: 92.5 learning rate: 0.0044140993
Training step: 12500 Accuracy: 82.1 learning rate: 0.0044096652
Training step: 12600 Accuracy: 89.3 learning rate: 0.0044052354
Training step: 12700 Accuracy: 86.3 learning rate: 0.00440081
Training step: 12800 Accuracy: 83.6 learning rate: 0.0043963897
Training step: 12900 Accuracy: 86.0 learning rate: 0.0043919734
Training step: 13000 Accuracy: 87.2 learning rate: 0.0043875617
Training step: 13100 Accuracy: 92.10000000000001 learning rate: 0.004383154
Training step: 13200 Accuracy: 82.3 learning rate: 0.004378751
Training step: 13300 Accuracy: 88.1 learning rate: 0.0043743523
Training step: 13400 Accuracy: 90.5 learning rate: 0.0043699583
Training step: 13500 Accuracy: 81.6 learning rate: 0.0043655685
Training step: 13600 Accuracy: 88.7 learning rate: 0.0043611834
Training step: 13700 Accuracy: 88.7 learning rate: 0.0043568024
Training step: 13800 Accuracy: 90.3 learning rate: 0.0043524257
Training step: 13900 Accuracy: 90.8 learning rate: 0.0043480536
Training step: 14000 Accuracy: 76.9 learning rate: 0.004343686
Training step: 14100 Accuracy: 84.5 learning rate: 0.0043393224
Training step: 14200 Accuracy: 91.5 learning rate: 0.0043349634
Training step: 14300 Accuracy: 91.60000000000001 learning rate: 0.004330609
Training step: 14400 Accuracy: 89.3 learning rate: 0.004326259
